official_store,name,old_price_real,old_price_cents,new_price_real,new_price_cents,reviews_rating_number,reviews_amount
Aleta Online,"Tipo de alto-falante triaxial Bravox B3X60 para carros, picapes e suvs cor preto de 4Ω 167.5mm X 167.5mm X 6 "" x 2 unidades",108,36,10,53,4.7,(1766)
,Par Kit Mini Tweeter Universal Piezoelétrico Porta Painel Coluna Alto Falante Som Automotivo Rms Ohms,108,99,10,29,,
Aleta Online,"Tipo de alto-falante triaxial Bravox B3X60 para carros, picapes e suvs cor preto de 4Ω 167.5mm X 167.5mm X 6 "" x 2 unidades",108,36,10,53,4.7,(1766)
,"Tipo de alto-falante super tweeter Hinor 5HI300 para carro/caminhonete cor preto de 8Ω 3"" X 3"" X 3 "" x 1 unidade",108,98,10,08,4.7,(71)
Pruden Parts,Alto Falante Pioneer 6 Polegadas Triaxial 100w Rms Ts-1760br Cor Preto,108,90,10,91,4.7,(595)
Aleta Online,Par Alto Falante Porta Hurricane 6 Polegadas 100 Rms Triak Cor Azul,108,90,10,89,4.8,(80)
,Hurricane AURUM A6T 164 mm Preto,108,28,10,36,4.7,(341)
Loi Brasil,Smart Tv Led 42'' Ptv42g6fr2cpf Roku Dolby Audio Preta Philco 110V/220V,108,99,10,63,4.7,(2255)
Aleta Online,Par Alto Falante Porta Hurricane 6 Polegadas A6 T 120w Rms,108,90,10,38,4.7,(110)
VIKING,"Smart TV LG UHD AI ThinQ 55UR871C0SA-C LCD webOS 4K 55"" 100V/220V",108,90,10,,4.8,(3373)
Triton Alto Falantes,Alto Falante Woofer Triton Tr 620 W Rms 12 Polegadas 4 Ohms Cor Preto,108,05,10,30,4.7,(61)
Taramps,Taramps ML 570S 4 OHMS 15 Polegadas Alto Falante,108,99,10,20,4.9,(14)
123 Comprou,Notebook Lenovo Ideapad 3i Celeron 4gb 128gb Ssd W11 15.6 Cor Prateado,108,90,10,90,4.6,(1650)
ExtremeAudio,"Tipo de alto-falante super tweeter Hinor HST 600 Trinyum para carros, picapes e suvs cor prateado x 1 unidade",108,06,10,26,,
Aleta Online,Par Alto Falante Hurricane 69 6x9 Polegadas A69 Q Rms 260w Cor FOTO,108,79,10,41,4.7,(1401)
,"Tipo de alto-falante super tweeter Hinor 5HI300 para carro/caminhonete cor preto de 8Ω 3"" X 3"" X 3 "" x 1 unidade",108,98,10,08,4.7,(71)
Aleta Online,Kit Fácil Falante Hurricane 6 + 6x9 280w Rms Prático Som Cor Azul,108,03,10,02,4.6,(268)
,Par Mini Tweeter Bravox Neopoint 60w Rms Par 4 Ohms O Melho Cor Preto,108,51,10,64,4.7,(40)
,Modulo Taramps TL500 Amplificador 90W Rms Para Alto Falante de Portas e Tampao 6x9 2 Canais 45W 2 Ohms Potencia tl500,108,72,10,,4.5,(2336)
Ls Distribuidora,Alto Falante 10 Polegada Hardpower Hp400h Médio Grave 8ohms,108,99,10,17,4.7,(279)
,Par Kit Mini Tweeter Universal Piezoelétrico Porta Painel Coluna Alto Falante Som Automotivo Rms Ohms,108,99,10,29,,
,Pioneer BR TS-6960BR Preto Par Alto Falantes Quadriaxial 6x9 100w Rms,108,01,10,90,4.7,(464)
,"Tipo de alto-falante subwoofer Corzus CXS200 para carros, picapes e suvs cor preto 8"" X 8"" X 8 "" x 1 unidade",108,89,10,89,4.5,(42)
Ls Distribuidora,Alto Falante Woofer Hardpower Hp900h 12 Pol 8 Ohms Cor Branco,108,,10,,4.9,(46)
Aleta Online,Auto Falante Triaxial Bravox 5 Polegadas B3x50g 200w Par,108,34,10,60,4.6,(355)
,Kit Alto 4 Falante 320w Rms Huricane Pajero T4 Tr4,108,99,10,21,4.3,(10)
,Par Auto Falante De Porta 140 Rms 6 Polegadas Leson Ls6 140w Cor Preto,108,84,10,34,4.4,(624)
,Par De Tela 15 Polegadas Metálica Prof Para Alto Falante,108,90,10,30,5.0,(11)
,6x9 Par Falante 140 Rms Carro Som Para Tampão Automotivo Cor Preto,108,90,10,30,4.2,(282)
,Alto Falante Bomber 6x9 Bicho Papão 350w Rms 6x9 Bomber Leds,108,29,10,90,4.7,(148)
Auto Equip,Alto Falante Bravox Kit Facil 6 + Triaxial Quadriaxial 6x9 Cor Preto,108,90,10,90,4.7,(210)
,Alto Falante Triaxial 4 Pol Bossound 40w Rms 4 Ohms Carro,108,99,10,15,3.8,(63)
,2 Alto Falantes 6x9 Com Telas - Tampão Traseiro Fz 69 T Cor Preto E Vermelho,108,98,10,99,4.4,(196)
Ultravox,Alto Falante Woofer Ultravox 700+ 700w Rms 12 Polegadas Novo,108,90,10,90,4.5,(24)
,Kit Duas Vias Audiophonic Club K.c 6.3 (6 Pols - 160w Rms) Cor Preto,108,12,10,51,4.9,(124)
,Kit Alto Falante Pioneer Ts-1790br 6 Polegadas 120w Rms Par Cor Preto,108,99,10,83,4.7,(203)
